Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","1735","Vegetables Primary","1963","1963","hg/ha","49564","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice","1963","1963","ha","9007995","A","Official figure"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice","1963","1963","hg/ha","17690","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","15","Wheat","1963","1963","ha","5022000","A","Official figure"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","15","Wheat","1963","1963","hg/ha","8303","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","1735","Vegetables Primary","1963","1963","ha","125700","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","1735","Vegetables Primary","1963","1963","hg/ha","54025","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","27","Rice","1963","1963","ha","1286105","A","Official figure"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","27","Rice","1963","1963","hg/ha","13902","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","15","Wheat","1964","1964","ha","13499000","A","Official figure"
"QCL","Crops and livestock products","100","India","5419","Yield","15","Wheat","1964","1964","hg/ha","7299","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1735","Vegetables Primary","1964","1964","ha","3031400","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1735","Vegetables Primary","1964","1964","hg/ha","67743","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","27","Rice","1964","1964","ha","36462000","A","Official figure"
"QCL","Crops and livestock products","100","India","5419","Yield","27","Rice","1964","1964","hg/ha","16171","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","15","Wheat","1964","1964","ha","57466","A","Official figure"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","15","Wheat","1964","1964","hg/ha","6011","E","Estimated value"
